objID,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag
161981099951114804,109.995099450,44.986791030,0.0040,0.0048,17.9421,0.0030,17.5688,0.0039,17.4238,0.0039,17.3810,0.0073,17.3668,0.0070
161971099984294940,109.998379000,44.978605200,0.0252,0.0359,21.7150,0.0533,21.2498,0.0404,21.0583,0.0377,20.6275,0.0399,20.7636,0.1653
161991100076314715,110.007595590,44.995065880,0.0019,0.0038,18.6131,0.0032,18.0360,0.0049,17.8361,0.0029,17.7367,0.0064,17.6886,0.0101
161991100059189354,110.005941650,44.998910580,0.0034,0.0032,18.2435,0.0047,17.0273,0.0030,16.2174,0.0020,15.8469,0.0048,15.6282,0.0043
162001099827230683,109.982724040,45.000034690,0.0032,0.0033,18.9995,0.0063,18.3557,0.0052,18.0716,0.0027,17.9455,0.0097,17.8493,0.0186
162001099827120631,109.982729430,45.000034220,0.0122,0.0208,19.0512,0.0023,,,,,17.9383,0.0117,17.7955,0.0754
162001099848140833,109.984854610,45.000153720,0.0247,0.0422,18.7873,0.0061,17.5589,0.0056,16.4135,0.0022,15.9002,0.0061,15.6640,0.0067
162001099991965299,109.999212750,45.003908600,0.0019,0.0023,20.0598,0.0270,19.0881,0.0116,18.6786,0.0053,18.4985,0.0080,18.3606,0.0294
162041099997150608,109.999623790,45.033271990,0.0255,0.0294,22.0011,0.1853,21.3850,0.0508,21.1410,0.0338,20.8672,0.1381,,
162041099985884310,109.998628180,45.036362480,0.0046,0.0051,20.7168,0.0487,19.6949,0.0095,19.1201,0.0075,18.8609,0.0166,18.7056,0.0196
162011100036237494,110.003623260,45.014053330,0.0431,0.0778,22.0966,0.2017,21.3923,0.0785,21.3493,0.0505,21.2892,0.0027,20.7194,0.1634
162021100088683878,110.008843660,45.019388570,0.0103,0.0105,21.6789,0.1785,20.8372,0.0233,20.1487,0.0141,19.8205,0.0329,19.6763,0.0662
162021100126354308,110.012631720,45.019664630,0.0032,0.0070,20.8959,0.0357,19.6050,0.0127,18.9767,0.0075,18.6876,0.0097,18.5324,0.0270
162021099857263278,109.985641710,45.018843570,0.0302,0.0304,21.7608,0.0435,21.5199,0.0610,21.2656,0.0476,21.1951,0.1761,,
162011100167598074,110.016772830,45.014517810,0.0022,0.0075,20.5318,0.0463,19.3075,0.0093,17.7749,0.0033,17.0740,0.0106,16.7230,0.0062
